Dimension,Scenario,S*,Static $/day,MDP $/day,MDP Advantage,Static Fill,MDP Fill
Cost,"Base (cu=2.50, co=1.50)",33,$3.07,$2.68,12.8%,94.1%,94.4%
Cost,"High margin (cu=4.00, co=1.50)",35,$3.78,$3.40,10.0%,95.4%,95.1%
Cost,"Symmetric (cu=1.50, co=1.50)",30,$2.41,$2.08,13.6%,91.5%,92.5%
Cost,"Expensive waste (cu=1.00, co=3.00)",24,$2.65,$2.28,14.0%,83.4%,85.1%
Lead Time,Deterministic (P=1.0),30,$2.14,$1.94,9.3%,96.2%,96.7%
Lead Time,Base (P=0.8),33,$3.07,$2.68,12.8%,94.1%,94.4%
Lead Time,Noisier (P=0.6),35,$3.52,$3.11,11.6%,93.0%,92.4%
Lead Time,Coin flip (P=0.5),35,$3.62,$3.24,10.4%,92.0%,91.6%
Shelf Life,2-day shelf life,28,$6.40,$5.10,20.3%,85.7%,89.2%
Shelf Life,3-day shelf life (base),33,$3.07,$2.68,12.8%,94.1%,94.4%
Shelf Life,4-day shelf life*,37,$1.61,intractable,~0% (expected),~97%,—
